Character	Stories
Maria Hill	Invincible Iron Man (2008) #25, IRON MAN BY DESIGN VARIANT
Maria Hill	Invincible Iron Man (2008) #25, TRIMPE VARIANT
Maria Hill	Invincible Iron Man (2008) #25, 2ND PRINTING VARIANT
Maria Hill	Invincible Iron Man (2008) #25, MOVIE VARIANT
Maria Hill	Invincible Iron Man (2008) #25, CONVENTION VARIANT
Maria Hill	Invincible Iron Man (2008) #25, Spread Variant
Ben Urich	Wake Up Part 1
Ben Urich	Wake Up Part 2
Ben Urich	4 of 6 - Ultron; THE INITIATIVE BANNER
Ben Urich	Spider-Man: Threat Or Menace?
Ben Urich	
Ben Urich	Lethal Protector Part 1: Dark Soul Drifting
Ben Urich	Amazing Spider-Man (1999) #608 - Int
Ben Urich	[untitled]
Doctor Spectrum	Full Spectrum
Doctor Spectrum	Interior #4049
Doctor Spectrum	The story that was too big to tell in Supreme Power Vol. 1 continues.  Figures from Joe Ledger's (aka: Dr. Spectrum) past contin
Doctor Spectrum	PART 3 (OF 6) From the pages of SUPREME POWER, the limited series that reveals the dark secrets of Joe Ledger’s past.  And while
Doctor Spectrum	5 of 6 - Full Spectrum
Doctor Spectrum	6 of 6 - Full Spectrum
Doctor Spectrum	1 of 6 - The Pre-War Years
Doctor Spectrum	2 of 6 - The Pre-War Years
Doctor Spectrum	Brain-Child to the Dark Tower Came
Doctor Spectrum	Supreme Power: The Redemption of Mark Milton (2010) #1
Doctor Spectrum	Cover #82211
Doctor Spectrum	Supreme Power (2010) #4
Killraven	pin-up
Killraven	Cover #42542
Killraven	[untitled]
Killraven	[untitled]
Killraven	Cover #42545
Killraven	[untitled]
Killraven	Cover #42547
Killraven	[untitled]
Killraven	[untitled]
Killraven	Cover #42550
Killraven	Interior #42551
Killraven	Interior #42552
Killraven	Cover #42553
Killraven	Interior #42554
Killraven	Cover #42555
Killraven	Interior #42556
Killraven	They Call Him -- Killraven!
Killraven	The War of the Worlds!
Killraven	Amazing Mail
Killraven	The Sirens of Seventh Avenue!
Nocturne	1 of 3 TBA
Nocturne	1 of
Nocturne	1 of 3
Nocturne	3 of 3
Nocturne	1 of 4 - Magic Stroke
Nocturne	Heroes and Villains Part One
Nocturne	Cover #26137
Nocturne	Heroes and Villains Part Two: Treachery
Nocturne	Heroes and Villains Part Four: Full Circle
Nocturne	A World Apart Part Three Of Three
Nocturne	Play Date
Nocturne	Cover #34034
Nocturne	I Cover The Waterfront Part One
Nocturne	Cover #34036
Nocturne	I Cover The Waterfront Part Two
Nocturne	Cover #34038
Nocturne	Nocturne And Evensong
Nocturne	Wild Life Reserve
Nocturne	Wild Life Reserve
Nocturne	A Chance To Dream . . .
Crusher Hogan (Ultimate)	Wannabe
Crusher Hogan (Ultimate)	With Great Power
Bullseye	1 of 6 - Faith in Monsters
Bullseye	Leinil Yu Cover
Bullseye	3 of 5 - 5XLS (Bullseye vs. Punisher)
Bullseye	4 of 5 - 5XLS (Bullseye vs. Punisher)
Bullseye	5 of 7 - 7XLS
Bullseye	Cover #5890
Bullseye	Cover #5892
Bullseye	5 of 7 - 7XLS
Bullseye	Bullseye Rules Supreme!
Bullseye	Cover #15812
Bullseye	Cover #15849
Bullseye	Cover #15851
Bullseye	Cover #15869
Bullseye	Devils
Bullseye	Cover #15877
Bullseye	Bullseye vs. Elektra  One Wins. One Dies.
Bullseye	Roulette
Bullseye	Cover #15936
Bullseye	Who Is The Man In Black?
Bullseye	Whatever Happened to Matt Murdock?
Storm	Interior #497
Storm	1 of 2- Black Panther crossover
Storm	2 of 2- Black Panther crossover
Storm	6 of 6 - Enemy of the State
Storm	Cover #3206
Storm	1 of 5 - 5XLS
Storm	3 of 5 - 5XLS
Storm	1 of 3 - Hath No Fury
Storm	5 of 5 - Bride of the Panther
Storm	Cover #3848
Storm	1 of 3 - Civil War
Storm	2 of 3 - Civil War
Storm	1 of 4 - 4XLS
Storm	2 of 6 - 6XLS
Storm	3 of 6 - 6XLS
Storm	3 of 6 - 6XLS
Storm	4 of 6 - 6XLS
Storm	5 of 6 - 6XLS
Storm	6 of 6 - 6XLS
Storm	6 of 6 - 6XLS
M (Monet St. Croix)	1 of 6
M (Monet St. Croix)	Cover #5770
M (Monet St. Croix)	1 of 1
M (Monet St. Croix)	Cover #77982
M (Monet St. Croix)	Interior #77983
M (Monet St. Croix)	X-Factor (2005) #218
M (Monet St. Croix)	X-Factor #217
Storm (Ultimate)	1 of 2 - Wolverine & Storm
Storm (Ultimate)	[untitled]
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Hellfire and Brimstone Part 5
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Hellfire and Brimstone Part 4
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Hellfire and Brimstone Part 1
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	Resignation
Storm (Ultimate)	The Enemy Within
Storm (Ultimate)	Previously ...
Storm (Ultimate)	The Tomorrow People Part 2
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	World Tour Part 4
Storm (Ultimate)	Previously In Ultimate X-Men:
Storm (Ultimate)	World Tour Part 3
Human Robot	5 of 6 - Story A - 6XLS
Human Robot	2 of 6 - Death of the Dream
Human Robot	1 of 3
Human Robot	1 of 3
Human Robot	2 of 3
Human Robot	3 of 3
Human Robot	1 of 2
Human Robot	2 of 2
Human Robot	2 of 2
Human Robot	2 of 2
Human Robot	Cover #60109
Puck	Alpha Flight (1983) #1
Puck	Tundra!
Puck	Alpha Flight #12
Puck	Bare Bones
Puck	Weapon Omega vs. Himself?!
Puck	Bare Bones Part II
Puck	Speaking of Experience
Puck	And One Shall Surely Die !
Puck	And One Shall Surely Die
Puck	Faith!
Puck	No Future Part 2
Puck	Ordeal!
Puck	Nightmare
Puck	The Hollow Man
Puck	What Lurks in Lake Ontario?
Puck	Biology Class
Puck	Sub-Mariner vs. Marrina
Puck	Blind Date
Puck	Cover #21179
Puck	Guardian is Dead. Who Will Lead Alpha Flight?
Hitman	Cover #13707
Hitman	Vengeance of the Hitman!
Echo	1 of 3 - Ronin
Echo	2 of 3 - Ronin
Echo	3 of 3 - Ronin
Echo	Cover #31916
Echo	Parts of a Hole Part 3: Dinner and a Movie
Echo	Cover #31919
Echo	Gun Play
Echo	Parts of a Hole Part 4: Trial and Error
Echo	Parts of a Hole Part 5: An Object in Motion
Echo	Parts of a Hole Conclusion: Vision
Echo	Wake Up Part 2
Echo	Echo Part One
Echo	Echo Part 2
Echo	Parts of a Hole Part 1: Murdock's Law
Echo	New Avengers (2004) #31
Echo	Venom Bomb 2 of 5
Echo	Moon Knight (2010) #6
Echo	Moon Knight (2010) #7
Amphibian (Earth-712)	1 of 6 - The Pre-War Years
Amphibian (Earth-712)	2 of 6 - The Pre-War Years
PsyNapse	Endgame Part 1: Malign Influences
PsyNapse	Endgame Part 2: Heroic Effort
PsyNapse	Endgame Part 3: Lunar Opposition
PsyNapse	The Puzzle Box
Agent Brand	Interior #3353
Agent Brand	Astonishing X-Men (2004) #38
Agent Brand	Heralds TPB
Agent Brand	Interior #90819
Agent Brand	 Interior  Astonishing X-Men (2004) #40
Shape	1 of 6 - The Pre-War Years
Shape	Cover #37435
Shape	Accusation Most Foul
Shape	Cover #37458
Shape	Earth's Mightiest Frauds?
Gravity	1 of 5 - 5XLS
Gravity	1 of 5 - 5XLS
Gravity	2 of 5 - 5XLS
Gravity	3 of 5 - 5XLS
Gravity	4 of 5 - 5XLS
Gravity	4 of 5 - 5XLS
Gravity	5 of 5 - 5XLS
Gravity	5 of 5 - 5XLS
Gravity	1 of 6 - 6XLS
Gravity	Avengers: The Initiative (2007) #18 - Int
Gravity	Avengers: The Initiative (2007) #18, Zombie Variant - Int
Gravity	Avengers: The Initiative (2007) #25 - Int
Gravity	Age of Heroes TPB
Gravity	Amazing Spider-Man (1999) #666 - Int
Gravity	Onslaught Unleashed (2010) #1
Gravity	Onslaught Unleashed (2010) #2  
Gravity	Onslaught Unleashed (2010) #1, LIEFELD VARIANT B
Gravity	Onslaught Unleashed (2010) #1, LIEFELD VARIANT A
Gravity	Fear Itself: Youth in Revolt #1 cover
Gravity	Interior #93006
Humbug	1 of 3 - Story C
Humbug	2 of 3 - Story C
Humbug	World War Hulk 1 of 3; WWH SLUG
Humbug	Deadpool (1997) #42
Gorilla Man	1 of 3
Gorilla Man	1 of 3
Gorilla Man	1 of 3
Gorilla Man	2 of 3
Gorilla Man	3 of 3
Gorilla Man	2 of 2
Gorilla Man	Cover #60109
Gorilla Man	Interior #75489
Gorilla Man	Interior #75491
Gorilla Man	Interior #75493
Gorilla Man	DEADPOOL TEAM-UP VOL. 2: SPECIAL RELATIONSHIP TPB
Gorilla Man	Wolverine (2010) #18 - Int
Gorilla Man	Wolverine (2010) #18, Mc 50th Anniversary Variant - Int
Micromax	Absolute Mastery
Carlie Cooper	2 of 3
Carlie Cooper	3 of 3
Carlie Cooper	3 of 3
Carlie Cooper	Amazing Spider-Man (1999) #586 - Int
Carlie Cooper	Amazing Spider-Man (1999) #588 - Int
Carlie Cooper	Interior #53219
Carlie Cooper	Amazing Spider-Man (1999) #621 - Int
Carlie Cooper	Amazing Spider-Man (1999) #627 - Int
Carlie Cooper	Amazing Spider-Man (1999) #629 - Int
Carlie Cooper	Amazing Spider-Man (1999) #630 - Int
Carlie Cooper	Amazing Spider-Man (1999) #631, Int
Carlie Cooper	Amazing Spider-Man (1999) #632 - Int
Carlie Cooper	Amazing Spider-Man (1999) #642 - Int
Carlie Cooper	Amazing Spider-Man (1999) #643 - Int
Carlie Cooper	Amazing Spider-Man (1999) #644 - Int
Carlie Cooper	Amazing Spider-Man (1999) #646
Carlie Cooper	Amazing Spider-Man (1999) #647 - Int
Carlie Cooper	Amazing Spider-Man (1999) #648, Campbell Variant - Int
Carlie Cooper	Amazing Spider-Man (1999) #649 - Int
Carlie Cooper	Amazing Spider-Man (1999) #650 - Int
Dazzler	1 of 3 TBA
Dazzler	2 of 2 -
Dazzler	3 of 3
Dazzler	Cover #13777
Dazzler	Cover #14715
Dazzler	The Dramatic Debut of the Dazzler!
Dazzler	Run For Your Life!
Dazzler	And Hellfire is Their Name!
Dazzler	Cover #19849
Dazzler	Lost In the Funhouse
Dazzler	The Evolutionary War
Dazzler	Resurrection
Dazzler	I Want My X-Men!
Dazzler	Double Cross
Dazzler	Jubilation Day
Dazzler	What if Dazzler had become the Herald of Galactus?; What if Iron Man was Trapped in the Time of King Arthur?
Dazzler	"What if Dazzler had become the Herald of Galactus?"
Dazzler	What  if Dazzler had become a Stand-Up Comedienne Instead of a Singer?
Dazzler	What if Dazzler had Decided to Become a Lawyer?
Dazzler	...Inquistition
Triton	Suddenly ... The Secret Defenders
Triton	It's Always Darkest Before the ... DOOM!
Triton	Deadly Deep
Triton	Into the Deep!
Triton	[untitled]
Triton	And Then Came Despair
Triton	Endgame Part 3: Lunar Opposition
Triton	Giving Peace A Chance
Triton	Woof
Triton	Earth X: Chapter One
Triton	Earth X Chapter Ten
Triton	Earth X Chapter Two
Triton	Earth X Chapter Three
Triton	Earth X Chapter Four
Triton	Earth X Chapter Five
Triton	Earth X Chapter Eight
Triton	Cover #24937
Triton	Earth X Chapter Nine
Triton	The Stars Our Destiny
Triton	Sons of Hala and Rhiannon
Mojo	The Evolutionary War
Mojo	What's Wrong With This Picture?!
Mojo	The Key That Breaks the Locke
Mojo	Lost Souls
Mojo	Citadel at the End of Time
Mojo	The Crunch Conundrum Part 3
Mojo	The Chimerical Mystery Tour!
Mojo	A Villains Gallery
Mojo	The Return of Longshot
Mojo	Blowback
Mojo	Tonight on Mojo TV--The Origin of Shatterstar
Mojo	Bittersweet Reunions
Mojo	[Mojoworld]
Mojo	
Mojo	Just Let Me Die
Mojo	Can't Give It All Away!
Mojo	Deadly Lies
Mojo	Cover #49550
Mojo	A Snake Coils...
Mojo	Shattershot Part 3
Sabretooth (Ultimate)	Return of the King: Prelude
Sabretooth (Ultimate)	Previously ...
Sabretooth (Ultimate)	Return To Weapon X Part Six
Sabretooth (Ultimate)	Previously ...
Sabretooth (Ultimate)	Return To Weapon X Part Five
Sabretooth (Ultimate)	Previously ...
Sabretooth (Ultimate)	Magneto Triumphant
Sabretooth (Ultimate)	Return To Weapon X Part Two
Sabretooth (Ultimate)	Previously ...
Sabretooth (Ultimate)	Return To Weapon X Part Three
Sabretooth (Ultimate)	Sex, Lies, and DVDs 1 of 5
Sabretooth (Ultimate)	Sex, Lies, and DVDs 1 of 5
Sabretooth (Ultimate)	Interior #70051
Spider-Woman (Mattie Franklin)	3 of 6 - 6XLS
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #611 - Int
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #2
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #5
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #6
Debrii	4 of 6
Debrii	6 of 6
Lilith	[The Axe Man]
Lilith	Cover #41915
Lilith	textpiece: Editorial
Lilith	Lilith, Daughter Of Dracula
Lilith	Profits Are Plunging!
Lilith	Slinking Through The Psycho-Ward
Lilith	Death Of The Living Dead!
Lilith	Death By Disco!
Lilith	Cover #51734
Lilith	Night of the She-Demon
Lockheed	Cover for Astonishing X-Men (2004) #7
Lockheed	1 of 6 - Dangerous
Lockheed	This World Is Mine!
Lockheed	Performance
Lockheed	Scavenger Hunt
Lockheed	Cover #19882
Lockheed	The Adventures of Lockheed the Space Dragon and His Pet Girl, Kitty
Lockheed	The War Begins
Lockheed	Prisoners of War
Lockheed	Tempest Without, Crisis Within
Lockheed	A Little Death...
Lockheed	Cover #22406
Lockheed	London's Burning
Lockheed	Quiet
Lockheed	Cover #22410
Lockheed	After the Bomb
Lockheed	Faith
Lockheed	Cover #22437
Lockheed	For the One I Love
Lockheed	Amendments
Quasar (Phyla-Vell)	With Malice Toward All!
Quasar (Phyla-Vell)	Where No X-Man Has Gone Before!
Quasar (Phyla-Vell)	The Crimson Crusade
Quasar (Phyla-Vell)	It Came From Within...
Quasar (Phyla-Vell)	Paradise X Issue 11
Quasar (Phyla-Vell)	Paradise X Issue 9
Quasar (Phyla-Vell)	Cover #26205
Quasar (Phyla-Vell)	The Secret History of The Avengers
Quasar (Phyla-Vell)	A World of Hurt
Quasar (Phyla-Vell)	Whatever the Cost!
Quasar (Phyla-Vell)	Cover #26282
Quasar (Phyla-Vell)	Hide-'N'-Seek!
Quasar (Phyla-Vell)	Cover #29681
Quasar (Phyla-Vell)	Sleeping Dogs
Quasar (Phyla-Vell)	The Outlaw Trail
Quasar (Phyla-Vell)	Cover #29687
Quasar (Phyla-Vell)	The Final Calculation
Quasar (Phyla-Vell)	It's Too Late to Stop Now!
Quasar (Phyla-Vell)	Annihilation Conquest: Quasar (2007) #1
Quasar (Phyla-Vell)	Annihilation Conquest: Quasar (2007) #4
Elektra	Interior #605
Elektra	Interior #1652
Elektra	Cover #1653
Elektra	Interior #1654
Elektra	Interior #1656
Elektra	Interior #1898
Elektra	Interior #1900
Elektra	Interior #1915
Elektra	Interior #2063
Elektra	Interior #2065
Elektra	2 of 6 - Agent of S.H.I.E.L.D.
Elektra	New Avengers (2004) #27
Elektra	Cover #15867
Elektra	Elektra
Elektra	Daredevil...Elektra & Gladiator...Fighting an Army of Assassins!
Elektra	The End?
Elektra	Cover #15885
Elektra	...Somebody Had to Win!
Elektra	Bullseye vs. Elektra  One Wins. One Dies.
Elektra	Next Issue: Resurrection
Skrulls	Skrulls from Outer Space!
Skrulls	The Fantastic Four Meet the Skrulls from Outer Space!
Skrulls	Part 2 Prisoner of the Skrulls
Skrulls	The Fantastic Four Fight Back!
Skrulls	The Fantastic Four... Captured!
Skrulls	The Death of the Fantastic Four!
Skrulls	The Coming of Galactus!
Skrulls	Summons From the Stars!
Skrulls	The Fate of the Phoenix!
Skrulls	Rage Against the Machine Part 1: Crossed Wires
Skrulls	The End of the World as We Know It
Skrulls	On the Edge of Darkness
Skrulls	Do Unto Others
Skrulls	The Gathering
Skrulls	The End of the World as We Know It Part 2
Skrulls	A World Apart Part One Of Three
Skrulls	A World Apart Part Two Of Three
Skrulls	Little Green Men 2 of 5
Skrulls	What If the Trial of Galactus had Ended  in Reed Richard's Execution
Skrulls	Secret Invasion 1 of 8
Wolverine (Ultimate)	"SWITCHEROO" PART 1 (OF 2) A bizarre occurrence brings Spider-Man and Wolverine together for the weirdest team-up in super-hero 
Wolverine (Ultimate)	2 of 2 - Wolverine & Storm
Wolverine (Ultimate)	Cover #5706
Wolverine (Ultimate)	2 of 2 - Aftermath
Wolverine (Ultimate)	2 of 2 - Aftermath
Wolverine (Ultimate)	[untitled]
Wolverine (Ultimate)	[untitled]
Wolverine (Ultimate)	[untitled]
Wolverine (Ultimate)	Sins of the Past
Wolverine (Ultimate)	The Tomorrow People
Wolverine (Ultimate)	Bullpen Bulletins
Wolverine (Ultimate)	Hey Bub Subscribe Today!
Wolverine (Ultimate)	[House Advertisement]
Wolverine (Ultimate)	[Ads]
Wolverine (Ultimate)	Sex, Lies, and DVDs 1 of 5
Wolverine (Ultimate)	Sex, Lies, and DVDs 1 of 5
Wolverine (Ultimate)	Sex, Lies, and DVDs 3 of 5
Wolverine (Ultimate)	6XLS 6 of 6
Wolverine (Ultimate)	Ultimate Comics X-Men (2011) #1 Cover
Wolverine (Ultimate)	Cover #84563
Mastermind	4 of 4 - Sentry
Mastermind	There's Something Awful On Muir Island!
Mastermind	How Sharper Than a Serpent's Tooth...!
Mastermind	Dazzler
Mastermind	Run For Your Life!
Mastermind	Cover #15451
Mastermind	And Hellfire is Their Name!
Mastermind	Wolverine: Alone!
Mastermind	Heroes and Hellfire
Mastermind	Too Late, The Heroes!
Mastermind	Unus, the Untouchable!
Mastermind	Trials and Errors
Mastermind	Earth X Chapter Six
Mastermind	Earth X Chapter Seven
Mastermind	Run For Your Life!
Mastermind	Dancin' In the Dark
Mastermind	Scarlet In Glory
Mastermind	To Have and Have Not
Mastermind	Cover #27857
Mastermind	Golden
Shang-Chi	1 of 3 - Story C
Shang-Chi	Hellfire In Hong Kong
Shang-Chi	World War Hulk aftermath 1 of 1; WWH SLUG
Shang-Chi	Secret Avengers #10
Shang-Chi	Cover #63387
Shang-Chi	Cover #63391
Shang-Chi	Return of the King (2010) #3
Shang-Chi	Fear Itself (2010) #3, Camuncoli Variant
Shang-Chi	Fear Itself (2010) #3, Immonen Variant
Shang-Chi	Amazing Spider-Man (1999) #667
Shang-Chi	Amazing Spider-Man (1999) #667 - Int
Shang-Chi	Cover #90677
Shang-Chi	Spider Island: Deadly Hands of Kung Fu (2011) #1
Shang-Chi	Fear Itself (2010) #3
Shang-Chi	Amazing Spider-Man (1999) #667, Dell'Otto Variant - Int
Shang-Chi	Spider Island: Deadly Hands of Kung Fu (2011) #1 - Interior
Shang-Chi	SPIDER-ISLAND: DEADLY HANDS OF KUNG FU (2011) #2
Shang-Chi	Journey Into Mystery (1996) #515
Silver Samurai (Age of Apocalypse)	Cover #4153
Silver Samurai (Age of Apocalypse)	Cover #4223
Silver Samurai (Age of Apocalypse)	Cover #4430
Silver Samurai (Age of Apocalypse)	Cover #4513
Silver Samurai (Age of Apocalypse)	Cover #4612
Silver Samurai (Age of Apocalypse)	Cover #4614
Silver Samurai (Age of Apocalypse)	Interior #73562
Silver Samurai (Age of Apocalypse)	Interior #90807
Silver Samurai (Age of Apocalypse)	Interior #90993
Man-Thing	Interior #3529
Man-Thing	Interior #3531
